# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
1.115951888603754583e+01,-2.194844509257804930e+02,8.868066932225200389e+02,1.198481157682950453e+02,1.165045316539940359e+02,3.890271199209681896e+01
1.115926597651487562e+01,-2.189411805627826482e+02,8.868596343649280698e+02,1.210385562433606452e+02,1.184615566690517170e+02,3.869243617710235839e+01
1.112359546076903172e+01,-2.184467773364484060e+02,8.869258561388326143e+02,1.206696705652612849e+02,1.185228100738127068e+02,4.112396078736123428e+01
1.110211636619547448e+01,-2.179242519801395588e+02,8.869820911881629399e+02,1.184222082784642822e+02,1.171555918947599650e+02,4.491287571662084588e+01
1.108775113308096039e+01,-2.173759492445480817e+02,8.870669988993752213e+02,1.163905135291317947e+02,1.157955260116058014e+02,4.969816462820244851e+01
1.104103902106711566e+01,-2.168739892270599512e+02,8.871512312957494260e+02,1.153207170793281193e+02,1.150795295984414395e+02,5.122747371626815038e+01
1.100746685443703399e+01,-2.163609237429648715e+02,8.872419355615564882e+02,1.174635393534486809e+02,1.179754737908061202e+02,5.186029290530454006e+01
1.097726008646857032e+01,-2.158181224035776893e+02,8.873527993721268103e+02,1.215823368905863759e+02,1.225525200488039843e+02,4.727047989713361886e+01
1.094677130171278812e+01,-2.153040534385658304e+02,8.874415343243097141e+02,1.215276258399682234e+02,1.235473689482980859e+02,4.728647200043381105e+01
1.089614666916164865e+01,-2.148054018897274489e+02,8.875578738967955132e+02,1.235732771119364770e+02,1.242987520460900441e+02,4.484287528806859058e+01
1.084983145231991664e+01,-2.143176342858145063e+02,8.876816501434039992e+02,1.210073116190630742e+02,1.243449994282785980e+02,4.943422638734553232e+01
1.081157732819402462e+01,-2.138125804844948732e+02,8.878093223806461083e+02,1.204575444043139640e+02,1.244030614390120348e+02,5.193552987733480109e+01
1.075659659448154848e+01,-2.132972040867580006e+02,8.879406996057446122e+02,1.211243137626742623e+02,1.252859673660304054e+02,5.444692054930789027e+01
1.070836079612998404e+01,-2.127924135194145094e+02,8.880828478711209755e+02,1.204034526679998436e+02,1.252641417434899012e+02,5.584666101814412542e+01
1.063560291169146765e+01,-2.123051870706606792e+02,8.882254349298823399e+02,1.197933894780064179e+02,1.248754051988029232e+02,5.704498497981133198e+01
1.059526793426156388e+01,-2.118073990535773135e+02,8.883791811376740952e+02,1.197722397172489792e+02,1.254726901962391139e+02,6.059291421685416168e+01
1.052883770460843671e+01,-2.113158033895089716e+02,8.885291769361573415e+02,1.194242523639593259e+02,1.258490062440738768e+02,6.190461760596126339e+01
1.046838929656552786e+01,-2.108348090630688887e+02,8.886893271271160302e+02,1.191304751497151813e+02,1.260389450338741142e+02,6.297227568321152091e+01
1.039120699256710445e+01,-2.103697031869708098e+02,8.888538734086001796e+02,1.189606126846722418e+02,1.258949323452825269e+02,6.406712513735091363e+01
1.033525423062499371e+01,-2.098833235903654497e+02,8.890202973232827617e+02,1.189821521209542965e+02,1.271870930917255578e+02,6.508256651668845905e+01
1.027625849007516834e+01,-2.093940490745276009e+02,8.891916880468900217e+02,1.184005867481339607e+02,1.269671454015451246e+02,6.687477593981243729e+01
1.019274937606514975e+01,-2.089201079005127610e+02,8.893671074375337184e+02,1.188255167243421369e+02,1.275429431727885259e+02,6.796433240327355918e+01
1.014532475600340611e+01,-2.084454106648726395e+02,8.895423113105127868e+02,1.184236857731758192e+02,1.284095367909685308e+02,6.849711002273554072e+01
1.008419695715775788e+01,-2.079681685463040708e+02,8.897189345838816052e+02,1.180803073868629554e+02,1.288255674101349086e+02,6.973862795080371768e+01
9.990651147421901968e+00,-2.075139363223538282e+02,8.899030250549043330e+02,1.184763626971094226e+02,1.292319072617988525e+02,7.044165439932753259e+01
9.932183667431116803e+00,-2.070453286187728850e+02,8.900915723948626237e+02,1.182562485584194008e+02,1.299104405949584020e+02,7.122343111109522340e+01
9.870080302893839530e+00,-2.065641977842435608e+02,8.902622754125527536e+02,1.182915304048582215e+02,1.301437373818254173e+02,7.183660824810166901e+01
9.777204281194135760e+00,-2.061278141216855033e+02,8.904582822722148876e+02,1.182149380670085179e+02,1.300818248940984461e+02,7.226112384053367066e+01
9.725340005235308283e+00,-2.056563241165029297e+02,8.906313356928949361e+02,1.178370321634501181e+02,1.298831329786243884e+02,7.257092195616257868e+01
9.657952186093941904e+00,-2.051757601113058058e+02,8.908186232308640911e+02,1.176294152896382741e+02,1.304687409874709942e+02,7.267819829786459707e+01
9.576476560008263306e+00,-2.047442522117625288e+02,8.910024208247453998e+02,1.178927482004555571e+02,1.303992821450890744e+02,7.299149847465491803e+01
9.518566759887615802e+00,-2.042721492301277237e+02,8.911861256539225451e+02,1.176006787781840188e+02,1.301691776790447932e+02,7.323157409547442853e+01
9.464271053693366298e+00,-2.038135225047482493e+02,8.913632182475258787e+02,1.175071452053911543e+02,1.303658271406127938e+02,7.248818631565623605e+01
9.384376928274029694e+00,-2.033632602877350735e+02,8.915408509221019813e+02,1.178550232042232437e+02,1.304255188082166796e+02,7.299146904962873350e+01
9.328418793245770502e+00,-2.028896847974630475e+02,8.917212030026269076e+02,1.173990633260497845e+02,1.303006774923185560e+02,7.236215236615983315e+01
9.243386861548371414e+00,-2.024459015172473642e+02,8.918812306705123092e+02,1.180703449528339775e+02,1.299717994806258616e+02,7.185363093085570085e+01
9.202596324720344612e+00,-2.019775185850697596e+02,8.920653931434451351e+02,1.174171065614918774e+02,1.303454237172396404e+02,7.170400365515402541e+01
9.136324037688861921e+00,-2.015218579263726326e+02,8.922312874841124994e+02,1.176919169431904066e+02,1.298609803424399161e+02,7.115990326457631454e+01
9.068637141897715637e+00,-2.010672583290669024e+02,8.923887275093454718e+02,1.179808164071951779e+02,1.297969996481435828e+02,7.012534127243893067e+01
9.022584722549593650e+00,-2.005939575736319966e+02,8.925457531611496051e+02,1.181938965990222243e+02,1.302948196263602938e+02,6.943319520236352105e+01
8.952577393116305515e+00,-2.001393497419796859e+02,8.927029459805620490e+02,1.182468323204230956e+02,1.291934770207521694e+02,6.899895336711173854e+01
8.896762290933843076e+00,-1.996753316758880885e+02,8.928671945633856240e+02,1.183711014885385140e+02,1.292582756956154526e+02,6.747942288929979782e+01
8.852991169857427067e+00,-1.992142892651647514e+02,8.930069307738876887e+02,1.185639856206135221e+02,1.293230287482245728e+02,6.708150594723647941e+01
8.790963982621148531e+00,-1.987353581316675957e+02,8.931580884409249848e+02,1.183726715727562464e+02,1.284374400344458138e+02,6.551939383221487390e+01
8.740507445846086299e+00,-1.982951962254331875e+02,8.932964579026223646e+02,1.181741858852272458e+02,1.280543278089409398e+02,6.535395024698912891e+01
8.697463934689825038e+00,-1.978084763909336914e+02,8.934357811298177694e+02,1.185164770823520826e+02,1.275605840953615626e+02,6.334375668594332609e+01
8.655735619103474221e+00,-1.973462127859999953e+02,8.935658376076248715e+02,1.183559149832459809e+02,1.270253401245412022e+02,6.266661778618000511e+01
8.602585656443778817e+00,-1.968606283713957339e+02,8.936827138690305219e+02,1.188086628310974788e+02,1.270404720762685571e+02,6.060861744842697618e+01
8.559746552799195385e+00,-1.964072910488230832e+02,8.937976037984877848e+02,1.182409683988489633e+02,1.259723500392499602e+02,5.984372970706618844e+01
8.522507308979189844e+00,-1.959222371740898438e+02,8.939144126767768057e+02,1.188532112972328747e+02,1.259007236214913377e+02,5.790791885240737713e+01
8.478573503675056244e+00,-1.954474850652649991e+02,8.940140970610743807e+02,1.184463972939645657e+02,1.245223242262305376e+02,5.643758393741224211e+01
8.451027806533735642e+00,-1.949532568739458895e+02,8.941132188729108066e+02,1.186108460922080354e+02,1.238452394494584041e+02,5.388620488779825735e+01
8.416507242601195316e+00,-1.944826732139812862e+02,8.942025423883878830e+02,1.186858373576257435e+02,1.237800062804982417e+02,5.287147753727685995e+01
8.399212055868520821e+00,-1.939853810159926297e+02,8.942921424655397686e+02,1.196822412453989131e+02,1.234153378893329602e+02,4.961769428205580823e+01
8.366178385071377122e+00,-1.935184968675979178e+02,8.943733895977053407e+02,1.184172701475490186e+02,1.218828438300779027e+02,4.856187742084241421e+01
8.356681619940111716e+00,-1.930186894135127886e+02,8.944455038743790283e+02,1.190649573872764364e+02,1.220482037037737655e+02,4.582319903850693521e+01
8.317236175244955732e+00,-1.925459119606620106e+02,8.945166392163697537e+02,1.187038343986157543e+02,1.213185133912425187e+02,4.400616115961457098e+01
8.322377371643524313e+00,-1.920360241625251660e+02,8.945751583023837838e+02,1.194481137611298749e+02,1.207272447636220818e+02,4.108783736167224276e+01
8.299491821367841027e+00,-1.915522871117019577e+02,8.946163756380497034e+02,1.188236158734046342e+02,1.198174178508687788e+02,3.960925466337271672e+01
8.275243083607456640e+00,-1.910564589101280717e+02,8.946703119339023260e+02,1.186151561797315992e+02,1.188088869572294755e+02,3.709918884232052250e+01
8.268931589229978840e+00,-1.905758703507680139e+02,8.946961825821673528e+02,1.180027990562993665e+02,1.173264048234870387e+02,3.533475695120326776e+01
8.238416908773157132e+00,-1.900951396182693713e+02,8.947221078362224489e+02,1.169849716465423199e+02,1.164385948916913662e+02,3.391624146394976691e+01
8.235698652369293882e+00,-1.896014459289618515e+02,8.947432141437094515e+02,1.174596415699896426e+02,1.154633712063780422e+02,3.261565705745613286e+01
8.263081446387900542e+00,-1.891121725696345095e+02,8.947402594186102078e+02,1.161143844504518796e+02,1.135107603821933253e+02,2.844151034329275873e+01
8.291277997707219072e+00,-1.886101036711594361e+02,8.947388276008023240e+02,1.155196108215255180e+02,1.129861138906109943e+02,2.621045085474830572e+01
8.282021482377446731e+00,-1.881110508535369092e+02,8.947617963583099936e+02,1.146763381281670036e+02,1.098978689244789990e+02,2.316917148897929124e+01
8.285941845205679002e+00,-1.876208837327810102e+02,8.947547908892257738e+02,1.149599317458142593e+02,1.091169666503120936e+02,1.919049140728557035e+01
8.303227441181309842e+00,-1.871069656221579862e+02,8.947326108854499580e+02,1.142827037654763558e+02,1.075397386095043402e+02,1.626497774901757865e+01
8.325519809626356960e+00,-1.866074371322257264e+02,8.947013750811360069e+02,1.143163001444205236e+02,1.077173018204459396e+02,1.639177556937775648e+01
8.371822189352130295e+00,-1.861056792363362717e+02,8.946579503597170060e+02,1.138434844558514953e+02,1.061790625084999533e+02,1.343024508289083663e+01
8.374710511435431215e+00,-1.855988866175494536e+02,8.946090586700711356e+02,1.136275910849879409e+02,1.045385706956469249e+02,1.010245844000888837e+01
8.415281102541516844e+00,-1.851006749423502811e+02,8.945566772418936807e+02,1.129498551202669603e+02,1.033183271350978032e+02,7.473953618791282061e+00
8.444556569709805061e+00,-1.846029810957284951e+02,8.944937209418005750e+02,1.124274010453049755e+02,1.012449335127129757e+02,3.882698461857363004e+00
8.475955385297876177e+00,-1.841111324092819928e+02,8.944096958674945199e+02,1.119820659228298751e+02,9.993993588498908309e+01,8.459071520558941737e-01
8.534075015395769626e+00,-1.836122882996694727e+02,8.943293248042153891e+02,1.112697471494927157e+02,9.891382750507654009e+01,4.207864273266517796e-01
8.571714821571342569e+00,-1.831241226493538079e+02,8.942360008416299024e+02,1.106000362795165586e+02,9.816176310981552433e+01,-2.469550576546289289e+00
8.645237543362892296e+00,-1.826282699801024876e+02,8.941253885573837579e+02,1.097439303066471155e+02,9.641799920272544000e+01,-5.555966465691496659e+00
8.675891565201030886e+00,-1.821413901445610293e+02,8.940182230198628304e+02,1.089821540316637538e+02,9.467667831849226445e+01,-7.692263600018391045e+00
8.743739593409358690e+00,-1.816572114453190068e+02,8.938968768470613213e+02,1.079598924351569593e+02,9.317123829812452129e+01,-9.428606555441339410e+00
8.802357860751822471e+00,-1.811817465257022661e+02,8.937609704974502165e+02,1.071749630643138858e+02,9.128303325321087414e+01,-1.164464596479334801e+01
8.884668888350773841e+00,-1.807057518232107896e+02,8.936244900089037628e+02,1.059538799349072349e+02,8.935872953939971808e+01,-1.299623329991082343e+01
8.942729187274908398e+00,-1.802363908600531488e+02,8.934726017532057085e+02,1.048773991705900812e+02,8.804159756102748702e+01,-1.523472091817916052e+01
9.023128674749656852e+00,-1.797749040323446081e+02,8.933268207792606290e+02,1.042239935255359597e+02,8.684419167707653742e+01,-1.674800724415514708e+01
9.106133564829100635e+00,-1.793160555953087680e+02,8.931606667501340553e+02,1.031512405655177815e+02,8.521232003386984388e+01,-1.823819072866295699e+01
9.163953317817835398e+00,-1.788631539006146056e+02,8.930013522950471270e+02,1.025964978338324443e+02,8.406373348270282975e+01,-2.130049110148635094e+01
9.270415159510923431e+00,-1.784134071217384019e+02,8.928181658689113647e+02,1.012993581120779396e+02,8.159558386141173969e+01,-2.226519597011084883e+01
9.351749340158249879e+00,-1.779782340122882260e+02,8.926369002817837099e+02,1.003622654068023792e+02,8.040048042330185751e+01,-2.392218487135321681e+01
9.427400999490116007e+00,-1.775439615470202455e+02,8.924436635350923552e+02,1.000731838382366448e+02,7.940290929947492771e+01,-2.496352491216196157e+01
9.534044090905236857e+00,-1.771154805439343249e+02,8.922548888601712633e+02,9.890862479389059558e+01,7.800557642085802001e+01,-2.671100956903405077e+01
9.615130032701078022e+00,-1.766922268529975213e+02,8.920615441275026569e+02,9.827112128879319641e+01,7.700402470217899520e+01,-2.856270542143845148e+01
9.707610213860908388e+00,-1.762799519091067566e+02,8.918648223209296475e+02,9.790709361013615819e+01,7.642775485382414047e+01,-2.941537250744549326e+01
9.793695667500129431e+00,-1.758708975567755317e+02,8.916612899073719518e+02,9.684142250097410454e+01,7.430173313620495890e+01,-3.120211507681477059e+01
9.890784879518950135e+00,-1.754655573136783175e+02,8.914616645151663761e+02,9.607632365795087992e+01,7.309855735491981932e+01,-3.245300983551489793e+01
9.978428491581299298e+00,-1.750646955539700400e+02,8.912449165596550529e+02,9.558096515973888074e+01,7.179030459107924855e+01,-3.342090657566730272e+01
1.007085697370324873e+01,-1.746775880331960309e+02,8.910396925229446197e+02,9.489554874866496448e+01,7.182057285798131829e+01,-3.476682642677643997e+01
1.016854730161532316e+01,-1.742839631151280173e+02,8.908342152402869942e+02,9.427803816663195846e+01,7.023845005230863592e+01,-3.533635624308041656e+01
1.026967323949416055e+01,-1.739015049268701603e+02,8.906274313233967632e+02,9.335485518283951478e+01,6.958463177582929404e+01,-3.708443744905856221e+01
1.035179189123782173e+01,-1.735273491406888695e+02,8.904210781756002007e+02,9.238331666995399871e+01,6.789610825710926179e+01,-3.804060835552098752e+01
1.044504548014510981e+01,-1.731502670595544942e+02,8.902068587646583637e+02,9.289857787811128276e+01,6.732925683252075544e+01,-3.752834843134181142e+01
1.055687090985928833e+01,-1.727763099709973460e+02,8.900085925273926932e+02,9.168653754423023372e+01,6.577849712069136956e+01,-3.974551287062543992e+01
1.063511541433072338e+01,-1.724110612429724938e+02,8.898100158643457007e+02,9.126640528772810512e+01,6.549509877937792623e+01,-4.049773975881971211e+01
1.073673318206278360e+01,-1.720380907176665062e+02,8.895967984486181876e+02,9.095211327365791476e+01,6.462715165073583989e+01,-4.021634691568808506e+01
1.083331379802052474e+01,-1.716736856820578510e+02,8.894023026761649362e+02,8.988964196471232526e+01,6.399786289220148205e+01,-4.189351023366843663e+01
1.091512379512399278e+01,-1.713054615307204642e+02,8.892028055906846475e+02,9.003892415241571712e+01,6.312752596707921526e+01,-4.149534887452230691e+01
1.102050394041292236e+01,-1.709461391863552535e+02,8.890130882463458875e+02,8.907583044794850480e+01,6.187561992891866680e+01,-4.251455258486186750e+01
1.110091945173192762e+01,-1.705780961592229517e+02,8.888167403866532368e+02,8.873628828026714643e+01,6.118115656819602322e+01,-4.295352829915628234e+01
1.118544848719907669e+01,-1.702184258818523119e+02,8.886251439883344574e+02,8.813790825235963666e+01,6.034142569706284576e+01,-4.405830231649395046e+01
1.125721221696912089e+01,-1.698614798898894662e+02,8.884414622007408298e+02,8.751856343269997751e+01,6.018073335213688324e+01,-4.450676553136865721e+01
1.135924644093563529e+01,-1.694969251199836151e+02,8.882640116314072429e+02,8.714214952831055427e+01,5.933812616419672281e+01,-4.487128003992992120e+01
1.143707058089819029e+01,-1.691313495452581321e+02,8.880732463302431370e+02,8.594247791178024443e+01,5.823837326741729470e+01,-4.624646841137249709e+01
1.152635684740133648e+01,-1.687647526023800708e+02,8.879008948934189220e+02,8.606612361600704730e+01,5.808368135083338757e+01,-4.598133288588536516e+01
1.161387135365278311e+01,-1.684001049433931314e+02,8.877197503701528376e+02,8.578188688603644607e+01,5.715063822681241845e+01,-4.651667179429244214e+01
1.167507516343361829e+01,-1.680259805401500444e+02,8.875533607311432434e+02,8.489959254076195805e+01,5.656125193297036446e+01,-4.741551367209332568e+01
1.177214630163355658e+01,-1.676593725771645893e+02,8.873778036597115033e+02,8.511579096002125766e+01,5.531933632760994612e+01,-4.674024281724616969e+01
1.185297310821798611e+01,-1.672870829270977140e+02,8.872188101247056693e+02,8.445881347644406389e+01,5.504614080483010952e+01,-4.771611135844442941e+01
