# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.534839977681632206e+01,-7.481308705254630809e+01,-1.829261268114304428e+01
8.790840327402449361e-02,-1.636034440451794580e-01,-4.354741652934706053e-01,5.381625691127055688e+01,-7.594018138715803445e+01,-1.680014763529874244e+01
1.940258351054024999e-01,-3.439067819533647707e-01,-8.851303095016760381e-01,5.202758319532897957e+01,-7.682648574818001919e+01,-1.447706982724805158e+01
2.973756172212063120e-01,-5.285568284896271507e-01,-1.321254186811728459e+00,5.121659349973216280e+01,-7.753647080042479445e+01,-1.314063507952968735e+01
3.998562656809632188e-01,-7.037928141053271247e-01,-1.750294079500633870e+00,4.974730391699103649e+01,-7.842588947341788241e+01,-1.173344644777411361e+01
4.916023853901911878e-01,-8.895221134138182606e-01,-2.175620954361050963e+00,4.827485250925099791e+01,-7.935296270326007573e+01,-1.024017700867477387e+01
5.913232508729446835e-01,-1.083194903783237351e+00,-2.603895869572312449e+00,4.705625508252923339e+01,-8.006713315299566602e+01,-9.480556680358892763e+00
6.941511519404395258e-01,-1.266877996787115990e+00,-3.031338820500110387e+00,4.601349296638425557e+01,-8.078135300050195156e+01,-7.473784932764064415e+00
8.080809710730223472e-01,-1.473322369556967715e+00,-3.457239651090162624e+00,4.459199876484399994e+01,-8.151159498464460285e+01,-5.919186499182528927e+00
9.086219296102404641e-01,-1.662835327357811366e+00,-3.874120059098572710e+00,4.335694906337690924e+01,-8.209998974577915476e+01,-4.139889727416199428e+00
1.017048428187550257e+00,-1.868600039048033068e+00,-4.292108382346498274e+00,4.235902362975682678e+01,-8.253645149215699917e+01,-3.190054473485135933e+00
1.125375498785603057e+00,-2.069327107060985327e+00,-4.703583030138275944e+00,4.145937130300173123e+01,-8.339571098831736151e+01,-1.658578320114641791e+00
1.224757493661452479e+00,-2.271163388030231545e+00,-5.086549118677169190e+00,4.214858411774668667e+01,-8.339011067998904991e+01,-1.147674051814134982e-01
1.318481690367307557e+00,-2.465789728558547722e+00,-5.499382947803553634e+00,4.106144828111987977e+01,-8.398543905582621960e+01,1.510030032628209673e+00
1.435427235355180464e+00,-2.685195286870794007e+00,-5.911869055419714414e+00,3.865769573654993962e+01,-8.462564255298723026e+01,1.447575865539254991e+00
1.535438150625453524e+00,-2.880265608222771334e+00,-6.289934788607553173e+00,3.908996641509861547e+01,-8.466572726091013124e+01,3.344069253753161330e+00
1.630687927150449745e+00,-3.095936250035379089e+00,-6.692603806469577421e+00,3.791917336709671815e+01,-8.516760752220618258e+01,3.622162105002380894e+00
1.745287539285764744e+00,-3.283947588914884363e+00,-7.087288758548737633e+00,3.655619609771497380e+01,-8.563441408801537591e+01,4.550354576818580021e+00
1.832054261612999113e+00,-3.491271700258266719e+00,-7.462098387909151143e+00,3.699286899014720831e+01,-8.561492219433461059e+01,5.888517447577998887e+00
1.941933137374888041e+00,-3.684721807234268454e+00,-7.857994569751724612e+00,3.538300126187880323e+01,-8.606872811220037534e+01,5.236802096776790982e+00
2.049214862017114669e+00,-3.882218919729780282e+00,-8.229071914936753274e+00,3.505130145666121422e+01,-8.624868217448106122e+01,7.562303121007444062e+00
2.143765307690037147e+00,-4.083273787550069756e+00,-8.613169445129813084e+00,3.338768843011572329e+01,-8.639917315978766510e+01,8.242889585618208059e+00
2.258901095144445037e+00,-4.268757570501520604e+00,-8.993783346907434861e+00,3.177661867486103731e+01,-8.698140649450765238e+01,8.260820155234709361e+00
2.340628737175459939e+00,-4.460557130872643938e+00,-9.363583115126516532e+00,3.276233750411527978e+01,-8.684273302413694751e+01,9.373214940942155238e+00
2.451272256879488687e+00,-4.644510440339104207e+00,-9.747298079874298082e+00,3.162296224716272164e+01,-8.720158537961161471e+01,1.029886127479795199e+01
2.524867406687140381e+00,-4.839884059819041795e+00,-1.011561350542004334e+01,3.215800559270084591e+01,-8.716848029968984690e+01,1.054415436366717174e+01
