# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.842574348507296023e+01,-3.703194184805443001e+01,-2.607776043362286700e+01
1.612879237946280853e-01,4.167473567338220164e-02,-5.051015242289338403e-01,2.739482768294645965e+01,-3.744032579419337736e+01,-2.603193422955495961e+01
3.418657235259576765e-01,9.203922139920450718e-02,-9.972182563356852825e-01,2.710518298350654121e+01,-3.805143350617399278e+01,-2.551301934618986778e+01
5.108903581373187563e-01,1.350209554266257328e-01,-1.488166794790259928e+00,2.620657034532483465e+01,-3.822786747398939156e+01,-2.554054988809815541e+01
6.856799154772001970e-01,1.780740449841005102e-01,-1.989167055673732420e+00,2.564670924495148085e+01,-3.864636046224764243e+01,-2.469576158818681932e+01
8.634687777640301931e-01,2.132771493554628250e-01,-2.483503939812919725e+00,2.466640396748693931e+01,-3.893051092602672014e+01,-2.453515812440028299e+01
1.024715772649757994e+00,2.398443651871957627e-01,-2.985173695795339199e+00,2.372713712301548128e+01,-3.882248295396036042e+01,-2.492213232892990860e+01
1.198281728896862575e+00,2.643134176236117128e-01,-3.476864255233493850e+00,2.291449093052385066e+01,-3.922120167037154914e+01,-2.476107269301137848e+01
1.367392473548738607e+00,2.882863978109071468e-01,-3.970336143926658679e+00,2.217070112079287725e+01,-3.976709244885613970e+01,-2.431623572664064525e+01
1.545646859704760345e+00,3.154147786004841691e-01,-4.470834189514079071e+00,2.115955550843628430e+01,-3.995955825265092187e+01,-2.396995777201274080e+01
1.719043869282394610e+00,3.226804547902020204e-01,-4.966995754056796386e+00,2.029088676120534274e+01,-3.997695197203144346e+01,-2.425636197073691491e+01
1.884364850403025926e+00,3.363577665352295298e-01,-5.468188377634874087e+00,1.937855792076141626e+01,-4.050730206409679113e+01,-2.377612805926552753e+01
2.051777567715744155e+00,3.561411235616560589e-01,-5.957529574638954273e+00,1.836760105546466804e+01,-4.035989110800613133e+01,-2.373000354169570869e+01
2.224952748798038726e+00,3.532950240659147312e-01,-6.458946539193249237e+00,1.740889971074035358e+01,-4.097436063229925196e+01,-2.322029316722194991e+01
2.397347288698203016e+00,3.597452185032352645e-01,-6.959486384476377907e+00,1.626479302601888222e+01,-4.101787004667145453e+01,-2.317949652256838888e+01
2.553928709173469258e+00,3.560989379737975469e-01,-7.458352783244095008e+00,1.521003931887038974e+01,-4.113373774415172335e+01,-2.343089448371926053e+01
2.726283492852385137e+00,3.491320867627791813e-01,-7.956364879486358177e+00,1.417484320584331670e+01,-4.137883259095671207e+01,-2.239020959669803901e+01
2.865810475371313615e+00,3.498076108521672722e-01,-8.461959054647081757e+00,1.280343687224949001e+01,-4.125270840683045748e+01,-2.315921930786901584e+01
3.024885391873874951e+00,3.362268481806722775e-01,-8.950403945127334282e+00,1.173171509753074382e+01,-4.141227060931525017e+01,-2.311984246265071974e+01
3.186518351459634246e+00,3.188614539822083316e-01,-9.453999473461436764e+00,1.075634727617641140e+01,-4.145066169357417607e+01,-2.314579275499163202e+01
3.347407694945475853e+00,3.023013664184190930e-01,-9.957126571933997639e+00,9.545897059271517548e+00,-4.167997687201152246e+01,-2.255047037626582451e+01
3.511107194174813095e+00,2.924546382713515413e-01,-1.046097089958703918e+01,7.784725662603569241e+00,-4.157974920678800856e+01,-2.240093865596033140e+01
3.665791995710393714e+00,2.807876365707215882e-01,-1.097207390201714361e+01,6.939770226450944435e+00,-4.238654800181210902e+01,-2.264635408560561913e+01
3.822773878105975243e+00,2.401573515860491170e-01,-1.148046811807935796e+01,5.465926293678815995e+00,-4.207575703389027666e+01,-2.266748605879572054e+01
3.979912338284204765e+00,2.149376993762643906e-01,-1.198802938662515771e+01,3.983550748133434460e+00,-4.202744118143741758e+01,-2.227127221026524850e+01
4.127449040281639725e+00,1.859907390735315857e-01,-1.250305642283504426e+01,2.828195651507753983e+00,-4.221156657006577717e+01,-2.242402654731569100e+01
4.271173129026413662e+00,1.554788185020470337e-01,-1.301927887592955813e+01,6.913513633897963029e-01,-4.188573678873656547e+01,-2.237240004910813340e+01
4.426997628435431764e+00,1.195035446435213089e-01,-1.353517862872956812e+01,-6.224166396018403491e-01,-4.163277860014513720e+01,-2.184096070399586864e+01
4.573560946818383321e+00,8.770824331168114441e-02,-1.404945253651885650e+01,-2.087507626380228132e+00,-4.145980788416933649e+01,-2.187896105404896119e+01
4.707668638870872613e+00,4.541888541825755965e-02,-1.456881968318094778e+01,-3.096643972935867239e+00,-4.090636529576364211e+01,-2.164278979187632856e+01
4.854634339541436638e+00,3.701938912058722053e-03,-1.509378263595760927e+01,-4.644636334219562457e+00,-3.933092031507820252e+01,-2.125031621784382452e+01
4.987181239267568067e+00,-4.232093833115868620e-02,-1.561858538723919310e+01,-5.405720446492000342e+00,-3.913267251613969222e+01,-2.089084970395412810e+01
5.121765875748297780e+00,-8.337310533192976436e-02,-1.614178433713576055e+01,-6.873765517400892477e+00,-3.852163452464017723e+01,-2.109671243609930968e+01
5.260005813952314035e+00,-1.352858292209475621e-01,-1.665970632188651734e+01,-7.685087879826786761e+00,-3.826065460922739447e+01,-2.058255157478581765e+01
