# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.045874574614754948e+01,-2.122949924950117762e+01,8.457622091290795652e+01
9.033858998245314353e-02,-3.524837276574999123e-02,-3.637107993589268062e-01,-2.024696688154741153e+01,-2.119700146340015223e+01,8.452376647833987988e+01
1.835957011174862430e-01,-1.558066078155206924e-02,-7.053063744860992301e-01,-1.852207307760559729e+01,-1.893049791135566551e+01,8.481597121344726986e+01
2.585380836057549203e-01,-5.334231189908678061e-02,-1.074886679078502993e+00,-1.647257503047158522e+01,-1.693717365491008309e+01,8.380062653078026358e+01
3.421401737169595947e-01,-3.142246448737751052e-02,-1.423410757071820854e+00,-1.663017590562020231e+01,-1.705939310605894832e+01,8.497175825594693777e+01
4.108685259860003214e-01,-9.118485593398872879e-02,-1.792703885516857554e+00,-1.859352326840505043e+01,-1.876069988907932284e+01,8.491229121507730326e+01
4.767560227898695047e-01,-8.146175055208004778e-02,-2.148557717703027947e+00,-2.080987399652423875e+01,-2.044162563271088828e+01,8.409014093349495056e+01
5.414577622059173478e-01,-1.210367152955313941e-01,-2.506788601313161280e+00,-1.497500869474579765e+01,-1.614878711293205882e+01,8.540915973665559591e+01
6.045033639518706536e-01,-9.535177537793515512e-02,-2.869626438634099941e+00,-1.322924620963410725e+01,-1.375274245548643925e+01,8.476769382574435951e+01
6.706529372772553899e-01,-9.738586162131923629e-02,-3.227100092622123384e+00,-1.200105274889844331e+01,-1.289835853523564602e+01,8.457098873223219471e+01
7.214896217504449538e-01,-9.842253946908385842e-02,-3.598723489077286786e+00,-1.191990375984234340e+01,-1.335985246160917939e+01,8.488478630124468793e+01
7.787506235872978522e-01,-1.052295918179879664e-01,-3.953536744609124298e+00,-1.152158953745616365e+01,-1.275692163733786089e+01,8.501201639666987830e+01
8.138804824725092146e-01,-1.376700278733551386e-01,-4.326446242561303279e+00,-1.086391280335920229e+01,-1.217797940965897396e+01,8.485096817409544201e+01
8.662296733711851715e-01,-1.672683480314844928e-01,-4.691418762462603809e+00,-1.011789460622978964e+01,-1.090941061146321189e+01,8.452882203687410367e+01
8.985672969525833054e-01,-1.858155014178919373e-01,-5.044030349161999993e+00,-8.881614980506070012e+00,-1.029332137323068963e+01,8.472004805514059456e+01
9.297653818312667795e-01,-1.739879776852149007e-01,-5.429419739759168806e+00,-9.349115159868929936e+00,-9.802155904995844438e+00,8.448961670291261328e+01
9.658199257637107848e-01,-1.637167743417649035e-01,-5.779585728964974578e+00,-7.832622899046816300e+00,-8.403563190665778393e+00,8.432241391218921933e+01
9.882313348216236193e-01,-1.357448074583089692e-01,-6.145086114414681333e+00,-7.360184476748459659e+00,-7.592792050803278237e+00,8.443472811109047882e+01
1.003685640932882706e+00,-1.479903122450423325e-01,-6.524686249087267242e+00,-3.202949280940666110e+00,-4.095112377145902371e+00,8.477417417556233659e+01
1.018639665186604759e+00,-1.850742942593797125e-01,-6.886179568485459868e+00,-1.911683528705306001e+00,-3.252693616601459503e+00,8.494253083466109899e+01
1.034195690570140158e+00,-1.930842026677055401e-01,-7.262988058770417865e+00,-1.006168314898930882e+00,-1.997208172161197171e+00,8.472910534119675674e+01
1.052739751962867842e+00,-2.462995015913520547e-01,-7.635234315688336437e+00,1.114153953716084944e-01,-1.020625845110340491e+00,8.483749967609846010e+01
1.056491158492590898e+00,-2.271035878131897334e-01,-7.995393209447058780e+00,7.176455169203039830e-01,-2.092083101465770090e-01,8.482125819327703198e+01
1.028309431090379533e+00,-1.914737638167025580e-01,-8.374144600321614007e+00,2.360851826122606134e+00,1.303723524011570323e+00,8.480672090676839048e+01
1.024050822378246295e+00,-2.395912597625056151e-01,-8.741674486472248873e+00,3.431027455025982498e+00,2.308367732860812094e+00,8.486371495028853928e+01
1.012791042739060288e+00,-2.006369669111336407e-01,-9.116731873444081202e+00,5.209673734100864095e+00,5.360168584358513399e+00,8.432669494395567256e+01
9.967724132328790176e-01,-2.144662897285343206e-01,-9.481759864094499335e+00,6.187329835012416623e+00,6.534099753626747997e+00,8.400679234176055843e+01
9.611391968708353772e-01,-2.387273456683942641e-01,-9.872679151702243416e+00,7.157471944436672118e+00,7.331632575179044764e+00,8.381641009299052314e+01
9.393141745570918744e-01,-2.300334821738942992e-01,-1.022736988436597017e+01,8.226021967099494958e+00,8.604117106852418928e+00,8.387202575107428970e+01
9.009484426366203280e-01,-2.778556603001334224e-01,-1.060505791585808311e+01,9.319605519822504291e+00,9.974675151116539240e+00,8.365220938474172385e+01
8.665658141897960576e-01,-2.141050056430913173e-01,-1.096807601619278216e+01,1.035814530461772875e+01,1.094065004579619149e+01,8.366470660896790434e+01
8.229674689190975556e-01,-2.442306479006219888e-01,-1.133519801828640539e+01,1.125983080315115537e+01,1.191273720610094777e+01,8.345375193385142154e+01
7.656512765908551899e-01,-2.437749657350423149e-01,-1.170563846177560663e+01,1.229204397306500418e+01,1.333753733807618858e+01,8.348713067905833896e+01
7.274075691954315914e-01,-2.606401000748519436e-01,-1.207906256535440548e+01,1.336424167699232868e+01,1.440775149613178030e+01,8.327960372082550577e+01
6.781446191299842496e-01,-2.663758441460686299e-01,-1.244244417494084587e+01,1.407765429059586459e+01,1.523058766147585530e+01,8.288798588201801465e+01
6.175627053933610000e-01,-2.759316160106664029e-01,-1.281678267309720809e+01,1.469881877904386336e+01,1.598064176249386570e+01,8.292529251987299688e+01
5.604634737222227159e-01,-2.744309472867598743e-01,-1.318054609347680639e+01,1.532913564981698329e+01,1.652413618808239448e+01,8.268962902191572084e+01
4.896502093539591982e-01,-2.829045053053960146e-01,-1.355186937702472960e+01,1.605197597185869895e+01,1.751627912059506542e+01,8.259861662578620667e+01
4.236686720763334080e-01,-2.747308316214684965e-01,-1.391453970784320404e+01,1.734773167633851898e+01,1.866051619573365272e+01,8.281638176669353868e+01
3.546679552869154151e-01,-2.686733796559792609e-01,-1.427820689478090799e+01,1.768665793197143543e+01,1.932491883859178472e+01,8.227249136058323131e+01
2.761139729192443326e-01,-2.680044208009348949e-01,-1.464745463392728198e+01,1.850150822816199536e+01,2.034299684766741123e+01,8.225893753523342866e+01
2.052277567169706884e-01,-2.658791418333521506e-01,-1.501343356187229006e+01,1.869269064704362293e+01,2.051368310397913319e+01,8.211400619230911957e+01
1.185596782934812410e-01,-2.496126674342349361e-01,-1.537352524521904229e+01,1.954101451813012957e+01,2.128244984525568029e+01,8.225358177937241067e+01
4.588399052475899964e-02,-2.458938351047663673e-01,-1.573787849505492886e+01,2.063668548268470460e+01,2.222062328845845158e+01,8.268305312691443021e+01
-4.771277487436265119e-02,-2.444799373888599803e-01,-1.610223410437282610e+01,2.243949590656688997e+01,2.376259231020495832e+01,8.322209268203876320e+01
-1.204524723154758448e-01,-2.261386478728582006e-01,-1.647122577079113626e+01,2.039957161784628070e+01,2.248133586864337730e+01,8.176523714857711411e+01
-2.178609665031689957e-01,-2.282238828588560864e-01,-1.682682420186480954e+01,2.096170750135328831e+01,2.314997283763504043e+01,8.153835042191138882e+01
-2.950727783652293823e-01,-2.168447863042501922e-01,-1.718921229651570570e+01,2.122807094309548859e+01,2.344821016491393095e+01,8.176884805432125347e+01
-3.898479335628781683e-01,-2.095243667371278207e-01,-1.755685995286088996e+01,2.120722512996050568e+01,2.367285876668904976e+01,8.149945657543379696e+01
