"Time","Position"
1.0E-5,2.0512012629036436E-6
2.0E-5,2.544121033511541E-6
3.0000000000000004E-5,2.7776288631568774E-6
4.0E-5,2.3844116598187713E-6
5.0E-5,2.523624891409944E-6
6.0E-5,2.977385793425842E-6
7.000000000000001E-5,3.5095695657948615E-6
8.0E-5,2.962054170944537E-6
9.0E-5,3.866489469307969E-6
1.0E-4,4.725486037547301E-6
1.1E-4,5.996594032405035E-6
1.2E-4,7.557594817644787E-6
1.3000000000000002E-4,8.50050063409024E-6
1.4000000000000001E-4,9.414968087839386E-6
1.5000000000000001E-4,1.0395555561906125E-5
1.6E-4,1.0351986229090805E-5
1.7E-4,1.0015679398426396E-5
1.8E-4,9.798421750957409E-6
1.9E-4,9.6359987732198E-6
2.0E-4,9.534228486976158E-6
2.1E-4,9.81347909079392E-6
2.2E-4,1.1033477802860302E-5
2.3E-4,1.1972040417801364E-5
2.4E-4,1.3040236811689921E-5
2.5E-4,1.4238111774587114E-5
2.6000000000000003E-4,1.5264648526940546E-5
2.7000000000000006E-4,1.6198818438591218E-5
2.800000000000001E-4,1.6324310123662314E-5
2.900000000000001E-4,1.6247234988940143E-5
3.0000000000000014E-4,1.762514854923995E-5
3.1000000000000016E-4,1.8972473757157474E-5
3.200000000000002E-4,2.012231004217096E-5
3.300000000000002E-4,2.0791374242884344E-5
3.4000000000000024E-4,2.276679123186537E-5
3.5000000000000027E-4,2.246303587498366E-5
3.600000000000003E-4,2.1753949872793644E-5
3.700000000000003E-4,2.289133653506145E-5
3.8000000000000035E-4,2.341390905401483E-5
3.9000000000000037E-4,2.430855600967915E-5
4.000000000000004E-4,2.498236131255083E-5
4.100000000000004E-4,2.5379096935258067E-5
4.2000000000000045E-4,2.5287399368794762E-5
4.300000000000005E-4,2.5302655276111315E-5
4.400000000000005E-4,2.5388752427601946E-5
4.5000000000000053E-4,2.5661250013243388E-5
4.6000000000000056E-4,2.5503079252055296E-5
4.700000000000006E-4,2.6579245338820668E-5
4.800000000000006E-4,2.693797545360027E-5
4.900000000000006E-4,2.62922592932905E-5
5.000000000000007E-4,2.6133648363932434E-5
