"Time","Position"
1.0E-5,-5.575506466262035E-7
2.0E-5,-5.845202465621283E-7
3.0000000000000004E-5,-9.75983222837275E-7
4.0E-5,-1.1985077812219241E-6
5.0E-5,-1.302102238150805E-6
6.0E-5,-1.8219173062298328E-6
7.000000000000001E-5,-2.025240455583617E-6
8.0E-5,-1.6389278566340248E-6
9.0E-5,-1.360607425097768E-6
1.0E-4,-9.93554239020824E-7
1.1E-4,-9.05139663900269E-7
1.2E-4,-3.0933985640376223E-7
1.3000000000000002E-4,2.856140378212314E-7
1.4000000000000001E-4,6.699374783414497E-7
1.5000000000000001E-4,8.130477252525224E-7
1.6E-4,2.0122094741040743E-6
1.7E-4,3.5108850999647396E-6
1.8E-4,4.6395981089720854E-6
1.9E-4,6.043794839431304E-6
2.0E-4,7.453022434162997E-6
2.1E-4,8.764717539480228E-6
2.2E-4,9.988466819129893E-6
2.3E-4,1.1322848727502972E-5
2.4E-4,1.300151954840253E-5
2.5E-4,1.4573199318761021E-5
2.6000000000000003E-4,1.6159653989901265E-5
2.7000000000000006E-4,1.727867073034559E-5
2.800000000000001E-4,1.8483778111631462E-5
2.900000000000001E-4,1.9729542199335363E-5
3.0000000000000014E-4,2.067270879997563E-5
3.1000000000000016E-4,2.2189135041617873E-5
3.200000000000002E-4,2.3746588861554688E-5
3.300000000000002E-4,2.4968056193579164E-5
3.4000000000000024E-4,2.653648914200967E-5
3.5000000000000027E-4,2.797058509641592E-5
3.600000000000003E-4,2.9411997467976424E-5
3.700000000000003E-4,3.114130217023908E-5
3.8000000000000035E-4,3.288706505323559E-5
3.9000000000000037E-4,3.4340507152106965E-5
4.000000000000004E-4,3.578889591925373E-5
4.100000000000004E-4,3.629516716483627E-5
4.2000000000000045E-4,3.74056415086594E-5
4.300000000000005E-4,3.839294570220211E-5
4.400000000000005E-4,3.84306871932601E-5
4.5000000000000053E-4,3.8157001793840495E-5
4.6000000000000056E-4,3.947999249134199E-5
4.700000000000006E-4,4.116685556590367E-5
4.800000000000006E-4,4.284661471571349E-5
4.900000000000006E-4,4.499371487897692E-5
5.000000000000007E-4,4.5929046194517124E-5
5.100000000000007E-4,4.732424458359506E-5
5.200000000000007E-4,4.916896281717382E-5
5.300000000000007E-4,5.021517236197467E-5
5.400000000000008E-4,5.1425681275128044E-5
5.500000000000008E-4,5.260276432561523E-5
5.600000000000008E-4,5.357711649686673E-5
5.700000000000008E-4,5.479948566622077E-5
5.800000000000009E-4,5.661544861541281E-5
5.900000000000009E-4,5.8841064773174666E-5
6.000000000000009E-4,6.13078161193919E-5
6.10000000000001E-4,6.382814686538911E-5
6.20000000000001E-4,6.594607991587869E-5
6.30000000000001E-4,6.79721468893558E-5
6.40000000000001E-4,6.997940891259195E-5
6.500000000000011E-4,7.186315654581205E-5
6.600000000000011E-4,7.401660636897179E-5
6.700000000000011E-4,7.603885116893467E-5
6.800000000000011E-4,7.839903935628094E-5
6.900000000000012E-4,8.06611400113056E-5
7.000000000000012E-4,8.276042057907274E-5
