# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
7.571347801554901835e+00,-2.176923853521988974e+02,8.802345383162710277e+02,-8.190324926890028223e+01,3.161898495563954370e+01,-4.925507498130476591e+01
7.420224895031084955e+00,-2.172295526755291064e+02,8.802060241124770528e+02,-8.409332926390523255e+01,3.024576795018942477e+01,-4.688118659223178497e+01
7.240534375834874581e+00,-2.167777199128906318e+02,8.801763753977783153e+02,-8.448781668333920436e+01,2.874125683469763004e+01,-4.542663071334860803e+01
7.069103616932223666e+00,-2.163299078128502799e+02,8.801374546719074488e+02,-8.583364091634611270e+01,2.728162940901071920e+01,-4.340388689557128998e+01
6.893209125823927863e+00,-2.158788261702879083e+02,8.801142514975105087e+02,-8.646510591895203390e+01,2.567035085034654784e+01,-4.166263113226180792e+01
6.708897053698098745e+00,-2.154273180241108889e+02,8.800613151405259487e+02,-8.684651978981501941e+01,2.438429819387764397e+01,-4.036666385484353725e+01
6.521074738369387447e+00,-2.150023177101867873e+02,8.800480466810528242e+02,-8.756125339535995522e+01,2.287515075831746003e+01,-3.868947416706809150e+01
6.342804698396149021e+00,-2.145703572460993200e+02,8.800060043167112553e+02,-8.783486411625769108e+01,2.117037198244298679e+01,-3.673825221682236730e+01
6.146036654614988493e+00,-2.141422024382376890e+02,8.799667320434990643e+02,-8.814884442743799298e+01,2.000030328630542087e+01,-3.558286153711292599e+01
5.950097783715938782e+00,-2.137231087818703656e+02,8.799455397895237638e+02,-8.851912603970752969e+01,1.893901889268024519e+01,-3.439855482863727332e+01
5.767704069998663030e+00,-2.133060428017688537e+02,8.799245222248135860e+02,-8.907089045121502124e+01,1.743178394280249677e+01,-3.235087441893170279e+01
5.563735422491395965e+00,-2.128939089939316318e+02,8.798734566635075680e+02,-8.912505577606630425e+01,1.614016874670409507e+01,-3.098243539437954297e+01
5.362002010121998730e+00,-2.124926040603958484e+02,8.798515943409294096e+02,-8.937999402838184437e+01,1.526166638093389416e+01,-2.995335380627180299e+01
5.158838106294817649e+00,-2.120946834612162490e+02,8.798293808505807192e+02,-8.960241228810065195e+01,1.416517541255143797e+01,-2.847672896735004144e+01
4.979645926227949104e+00,-2.116944955906100745e+02,8.797945335476377977e+02,-9.009323699554090581e+01,1.281980962769103627e+01,-2.675871232190240079e+01
4.767995741443361801e+00,-2.112988526537580469e+02,8.797576106256593675e+02,-9.026401571274068658e+01,1.140999324546357840e+01,-2.554135657600064135e+01
4.560877378862371323e+00,-2.109089917758907973e+02,8.797367272368757085e+02,-9.021464067979684387e+01,1.068396525254214069e+01,-2.468066750519487940e+01
4.369512547493431320e+00,-2.105256091992714289e+02,8.797337380935675810e+02,-9.042383410193035331e+01,1.117215231220487937e+01,-2.492000586202295764e+01
4.173397125729086277e+00,-2.101352414351561038e+02,8.796734508598079856e+02,-9.050017356627030551e+01,1.009906344084752838e+01,-2.314965645264745575e+01
3.981239883041124639e+00,-2.097556368817294867e+02,8.796495965736238531e+02,-9.063513826286768449e+01,9.104141350497819474e+00,-2.178809424232010983e+01
3.783277399070231084e+00,-2.093765080614701333e+02,8.796476225161029561e+02,-9.074662417502231904e+01,7.771373997684825063e+00,-2.087522857237970442e+01
3.602095357042091717e+00,-2.090027576294563971e+02,8.796202774036706842e+02,-9.063356344996927305e+01,6.486731232983974138e+00,-1.923485140277700012e+01
3.407096905059779246e+00,-2.086195329533463223e+02,8.795716441445431428e+02,-9.082532041163619851e+01,5.228845607084108060e+00,-1.848386143277873117e+01
3.226782074251191901e+00,-2.082385409521215536e+02,8.795609712698919793e+02,-9.074767286988463866e+01,5.495258350111477341e+00,-1.831822364358698962e+01
3.040722219330051157e+00,-2.078652318314583169e+02,8.795608385463184504e+02,-9.064864916957031937e+01,4.533943479672152499e+00,-1.695562718220910625e+01
2.869497061121628168e+00,-2.074811156576645601e+02,8.795180826828666341e+02,-9.068869539152122172e+01,5.045113907600645042e+00,-1.861618575060294134e+01
2.688176523062018930e+00,-2.071022488542276676e+02,8.795084125824986359e+02,-9.082296935908159696e+01,3.393748773736493085e+00,-1.708147433702807660e+01
2.523559150144310426e+00,-2.067242431937775677e+02,8.794900896940397388e+02,-9.079275219967340149e+01,3.423499277780603034e+00,-1.546435909719163426e+01
2.348890554062030844e+00,-2.063486017452252668e+02,8.794724871918484723e+02,-9.079951335382523325e+01,2.017297992521408734e+00,-1.450972990929164830e+01
2.184933889863372336e+00,-2.059648858180452748e+02,8.794334060660356727e+02,-9.076020880136995572e+01,2.779342249373513596e+00,-1.412958424353005604e+01
2.026826101142308101e+00,-2.055858184006632712e+02,8.794346262386444550e+02,-9.070617159226100057e+01,9.725611958751028130e-01,-1.331377081362158066e+01
1.866271471128285064e+00,-2.051987007504317262e+02,8.794252750994387497e+02,-9.067813867835363340e+01,9.007206510957673773e-01,-1.256135103053784086e+01
1.705123606191537577e+00,-2.048107711373891959e+02,8.794036675274148820e+02,-9.051618393153700026e+01,1.593972350810899871e-02,-1.132609287145960053e+01
1.556938654214628404e+00,-2.044145338419976952e+02,8.793483235422356756e+02,-9.061686543119519399e+01,-8.137837753215904080e-01,-1.190802869299929156e+01
1.417482139476968994e+00,-2.040167443655536772e+02,8.793514789019856153e+02,-9.075080644073010205e+01,-1.017180483612989628e+00,-1.106624121627575619e+01
1.284642668766447837e+00,-2.036256603836809518e+02,8.793637752576387356e+02,-9.089179872071811417e+01,-1.219046772272949219e+00,-1.072227842964936428e+01
1.140128146662506614e+00,-2.032289690165985121e+02,8.793589690803466965e+02,-9.085700839828180619e+01,-9.637319682420335543e-01,-9.989058657606307179e+00
1.012915175266323686e+00,-2.028239773556981049e+02,8.793382347770416345e+02,-9.072156674593895787e+01,-1.447123775611105279e+00,-9.862971606826640425e+00
8.822297932429702394e-01,-2.024216538813558941e+02,8.792944416621744494e+02,-9.060570038828018369e+01,-7.037516128966121443e-01,-9.802685852259495292e+00
7.525728614160580587e-01,-2.020050142943893547e+02,8.792738962344800484e+02,-9.047034985605596091e+01,-3.494342966970871434e+00,-7.751027603896480045e+00
6.221951016719979854e-01,-2.015958863038009099e+02,8.792813133363168845e+02,-9.047586690345387694e+01,-2.866261657447449096e+00,-6.781211691783007645e+00
5.044223825386252580e-01,-2.011825900394519238e+02,8.792925479640949789e+02,-9.043517248131020381e+01,-3.353781102352338728e+00,-6.394968986165356029e+00
3.679008754397509184e-01,-2.007379469988702851e+02,8.792697276599147926e+02,-9.037271538398508142e+01,-4.608457144992274657e+00,-5.606487592591617108e+00
2.544887414958112992e-01,-2.003181905601558128e+02,8.792520574787470196e+02,-9.044774802757723364e+01,-4.891694382110419959e+00,-5.305471068380922084e+00
1.783697760974123914e-01,-1.998892100097174875e+02,8.792351173351584066e+02,-9.035269791319643673e+01,-5.232069464612036924e+00,-4.947649426385532401e+00
7.733194346608060488e-02,-1.994512372480016893e+02,8.792234504188153323e+02,-9.033408752595661895e+01,-5.948072423221929306e+00,-4.810816650758384050e+00
-3.053208460490159856e-02,-1.990007511065429071e+02,8.792375055262914429e+02,-9.045834316074787296e+01,-5.265675326622323738e+00,-4.296672128611828789e+00
-1.338021238568279925e-01,-1.985540066920560491e+02,8.792220331307025845e+02,-8.976465513687486464e+01,-7.691084899179069012e+00,-8.901459209789862603e-01
-2.273902902285558913e-01,-1.981046809599254459e+02,8.792231362403515504e+02,-8.977737690052079245e+01,-9.498552790616443531e+00,-9.225542547411745842e-01
-3.187124084197928142e-01,-1.976437342893708262e+02,8.791980947748263588e+02,-8.975400623925342813e+01,-1.016747613290079144e+01,-5.047339909010263304e-01
-4.129866670265793793e-01,-1.971902483944137714e+02,8.792081740628640318e+02,-8.975605510119380881e+01,-1.021046149100771672e+01,1.070339727871454816e+00
-4.954393492351614747e-01,-1.967281940773075917e+02,8.791965766950753505e+02,-8.968994096210592204e+01,-1.123053094463332791e+01,8.888845593544648649e-01
-5.831156897101107406e-01,-1.962539398359358529e+02,8.792299455460297395e+02,-8.955944832620598106e+01,-1.128144331979243020e+01,1.917877477115738749e+00
-6.573161546057870730e-01,-1.957876156526502882e+02,8.792432667481732551e+02,-8.944760810932824313e+01,-1.160596451196810364e+01,3.138856935454861663e+00
-7.426538511488763872e-01,-1.953087834339623896e+02,8.791728475947227253e+02,-8.941310076459468803e+01,-1.270003857897990329e+01,3.010999888731385798e+00
-8.202659619166878802e-01,-1.948224863085752077e+02,8.791671347566411896e+02,-8.924513719115374499e+01,-1.309492726652458039e+01,4.120645943915186571e+00
-8.917363704761624987e-01,-1.943267980343986778e+02,8.791432130641442200e+02,-8.925334098995560339e+01,-1.385726734610798339e+01,3.507763372343740471e+00
-9.710423243452775965e-01,-1.938381488025648878e+02,8.791793469207988210e+02,-8.914449013242193587e+01,-1.548470057424166768e+01,5.279724590978516652e+00
-1.040613198830945274e+00,-1.933596738787369134e+02,8.791640271906168209e+02,-8.896644094455145080e+01,-1.522311893656362436e+01,5.938292739284545263e+00
-1.116234511453819911e+00,-1.928617088469506768e+02,8.791883986660193386e+02,-8.899689591058400140e+01,-1.560639330610018405e+01,6.959360395096142682e+00
-1.186402462401299207e+00,-1.923474178587735537e+02,8.791838566539005342e+02,-8.882847970043086150e+01,-1.647488020532941633e+01,7.097983079260859363e+00
-1.257310982408343492e+00,-1.918500717344603004e+02,8.791877906532342877e+02,-8.855396383929242177e+01,-1.684526217532563308e+01,7.845746496400396452e+00
-1.330866420814664108e+00,-1.913234200396778704e+02,8.791691209726786838e+02,-8.868013708768150138e+01,-1.687090607392332942e+01,8.386754197901542085e+00
-1.406763052115334922e+00,-1.908065532081955666e+02,8.791801182199322966e+02,-8.883030405620070269e+01,-1.690385621573572905e+01,8.551183110170589075e+00
-1.474977106317411524e+00,-1.903055977852662295e+02,8.791810821520050467e+02,-8.857166466116859738e+01,-1.851010057897470773e+01,1.048760086131935942e+01
-1.552802706008264311e+00,-1.897748879897100664e+02,8.791790483662606448e+02,-8.838703413060684966e+01,-1.827955298279533025e+01,1.029252374887285448e+01
-1.618832013986441831e+00,-1.892470589013005906e+02,8.791808089289777399e+02,-8.835400122053081873e+01,-1.905228805747581688e+01,1.106607791265344432e+01
-1.707048409606529704e+00,-1.887183268121509059e+02,8.791771904039469518e+02,-8.831984180597827105e+01,-1.946170546552125913e+01,1.143713158335851254e+01
-1.788250218926140889e+00,-1.882140569260582481e+02,8.791581283712260984e+02,-8.814444188438659467e+01,-1.971146676044073942e+01,1.218844158999592331e+01
-1.869017871749012016e+00,-1.876847618850131880e+02,8.791505561156220665e+02,-8.822939176226095981e+01,-1.930727526296924879e+01,1.243247005593235777e+01
-1.947931787310889673e+00,-1.871521434379124003e+02,8.791464318856334330e+02,-8.823587249825472156e+01,-1.979477764156062136e+01,1.248552416138731758e+01
-2.034974498060914794e+00,-1.866215894045364507e+02,8.791492564008274258e+02,-8.843070364788540871e+01,-1.941834209499054253e+01,1.247792953588493958e+01
-2.127879789034960112e+00,-1.860883675394428849e+02,8.791575352380370987e+02,-8.838765239825791298e+01,-1.989446832762824968e+01,1.324918141178926945e+01
-2.210054792093504528e+00,-1.855570952809243863e+02,8.791735349949672127e+02,-8.808118677670361762e+01,-2.004406972173698875e+01,1.358232106022406782e+01
-2.303222075476389907e+00,-1.850327102492769598e+02,8.791759597542837810e+02,-8.827480549265594334e+01,-1.957848400961898960e+01,1.383525801859834381e+01
-2.399350483586236038e+00,-1.845168165796324899e+02,8.791486291057365179e+02,-8.807782933986960927e+01,-2.019931918790854652e+01,1.471922640038171970e+01
-2.497020777564184169e+00,-1.839907753997906923e+02,8.791370233296458991e+02,-8.815370420380565974e+01,-2.102027427523423242e+01,1.506982128026696621e+01
-2.601103755064992473e+00,-1.834731191152888812e+02,8.791493555402126958e+02,-8.800170075719358920e+01,-2.084498152367520873e+01,1.504176255009241991e+01
-2.700595743906926138e+00,-1.829360781594042464e+02,8.791470129782585445e+02,-8.816646912017188242e+01,-2.023494493453136300e+01,1.481179960742933943e+01
-2.799528604015515842e+00,-1.824044453333030731e+02,8.791461102264645433e+02,-8.823426842571241480e+01,-2.046366737195655716e+01,1.530130422790574052e+01
-2.904848329392093920e+00,-1.818688813146420955e+02,8.791500675013739965e+02,-8.810642329808210604e+01,-1.981025458525361671e+01,1.476498366045724353e+01
-3.019885841120752534e+00,-1.813380446608450427e+02,8.791447976813668674e+02,-8.830805504558742314e+01,-1.918755127319430898e+01,1.453865132213037192e+01
-3.129946683125426343e+00,-1.807960516074957695e+02,8.791303962624725727e+02,-8.848749163273309648e+01,-1.890942792178869070e+01,1.392212798267611085e+01
-3.229673918305184355e+00,-1.802648233401295670e+02,8.791448707904306730e+02,-8.847053418771226063e+01,-1.853689510010389441e+01,1.380484855957329415e+01
-3.343391223674398116e+00,-1.797406892861216647e+02,8.791649231489822114e+02,-8.882089305305352411e+01,-1.791087878096783470e+01,1.402189936935303649e+01
-3.454326971252505096e+00,-1.792180368698504935e+02,8.791643220695453920e+02,-8.884174111764248494e+01,-1.825980486595748076e+01,1.367360331102109683e+01
-3.554839291148824465e+00,-1.786813852271708356e+02,8.791653573860793358e+02,-8.876992530956084693e+01,-1.681817299411162381e+01,1.335674383222671935e+01
-3.673285593416455885e+00,-1.781495779658175422e+02,8.791464984995336636e+02,-8.903282053588984013e+01,-1.617635997463278485e+01,1.260382537105666323e+01
-3.776525014375244904e+00,-1.776135517021077419e+02,8.791347683100381118e+02,-8.916516255262874324e+01,-1.541776695584340473e+01,1.180428280898888360e+01
-3.886993581281767973e+00,-1.770825663204569480e+02,8.791236793651449943e+02,-8.927020069973623606e+01,-1.510210167042436602e+01,1.168013580828637821e+01
-3.995776873032189869e+00,-1.765442023362283237e+02,8.791148518638991618e+02,-8.927445467744880148e+01,-1.435735245556333517e+01,1.031674396973173380e+01
-4.099789895056300537e+00,-1.760136823374790538e+02,8.791178534555477881e+02,-8.964482170010100504e+01,-1.402434195747052748e+01,1.055891777020710443e+01
-4.198880451444996886e+00,-1.754860797740581120e+02,8.791159055983333701e+02,-8.965973849224531023e+01,-1.362414328910439210e+01,1.026495014584140719e+01
-4.294929385040337166e+00,-1.749528117336117816e+02,8.791335282456080904e+02,-8.981452669145610912e+01,-1.266186625141811817e+01,9.897409615762663648e+00
-4.381149351785674995e+00,-1.744143329837099827e+02,8.791352410756455811e+02,-8.989531688802779286e+01,-1.196869193660879915e+01,8.533220200034742575e+00
-4.474333043588309522e+00,-1.738738844784746789e+02,8.791270540646719382e+02,-8.999908556055342501e+01,-1.076816696160700459e+01,8.066368094824513335e+00
-4.552867372823712344e+00,-1.733293739050608906e+02,8.791042313678001392e+02,-9.020279330110147953e+01,-9.991296428171812849e+00,7.906394725023608849e+00
-4.640120177880368679e+00,-1.727999163203094781e+02,8.791004843045178632e+02,-9.028897321703581724e+01,-9.537720822314392777e+00,7.081256874098690979e+00
-4.714167538499687282e+00,-1.722564171476089712e+02,8.790984233626942341e+02,-9.028682497599284318e+01,-8.969427080572360822e+00,6.351839116984434597e+00
-4.790445346916891722e+00,-1.717105204852574047e+02,8.791109406007229836e+02,-9.065667003225040332e+01,-8.065256104439219698e+00,5.796651417541323070e+00
-4.844788426505216350e+00,-1.711747140743108844e+02,8.791150979876006204e+02,-9.066093063179833678e+01,-7.180022233965119405e+00,5.377805562503715997e+00
-4.895377728983405063e+00,-1.706284061700939390e+02,8.791155407410813041e+02,-9.065920571213663948e+01,-6.489973799344039840e+00,4.196986610812757590e+00
-4.970320973986930291e+00,-1.700818571205720673e+02,8.791192155510522070e+02,-9.063969990549216504e+01,-4.660532269125403637e+00,3.691374873287165848e+00
