# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.198481157682950453e+02,3.890271199209681896e+01,-1.165045316539940359e+02
-2.529095226702082755e-04,5.294114240803082794e-02,-5.432703629978448134e-01,1.210385562433606452e+02,3.869243617710235839e+01,-1.184615566690517170e+02
-3.592342526851410867e-02,1.191629163125753621e-01,-1.037673589332086976e+00,1.206696705652612849e+02,4.112396078736123428e+01,-1.185228100738127068e+02
-5.740251984207134228e-02,1.753979656429009992e-01,-1.560198945640934198e+00,1.184222082784642822e+02,4.491287571662084588e+01,-1.171555918947599650e+02
-7.176775295658543996e-02,2.603056768551823552e-01,-2.108501681232411329e+00,1.163905135291317947e+02,4.969816462820244851e+01,-1.157955260116058014e+02
-1.184798649704301710e-01,3.445380732293870096e-01,-2.610461698720541790e+00,1.153207170793281193e+02,5.122747371626815038e+01,-1.150795295984414395e+02
-1.520520316005118389e-01,4.352423390364492661e-01,-3.123527182815621472e+00,1.174635393534486809e+02,5.186029290530454006e+01,-1.179754737908061202e+02
-1.822587995689755047e-01,5.461061496067713961e-01,-3.666328522202803697e+00,1.215823368905863759e+02,4.727047989713361886e+01,-1.225525200488039843e+02
-2.127475843247577103e-01,6.348411017896751218e-01,-4.180397487214662533e+00,1.215276258399682234e+02,4.728647200043381105e+01,-1.235473689482980859e+02
-2.633722168758971804e-01,7.511806742754743027e-01,-4.679049036053044119e+00,1.235732771119364770e+02,4.484287528806859058e+01,-1.242987520460900441e+02
-3.096874337176291903e-01,8.749569208839602652e-01,-5.166816639965986724e+00,1.210073116190630742e+02,4.943422638734553232e+01,-1.243449994282785980e+02
-3.479415578435212097e-01,1.002629158126069342e+00,-5.671870441285619791e+00,1.204575444043139640e+02,5.193552987733480109e+01,-1.244030614390120348e+02
-4.029222915559973472e-01,1.134006383224573256e+00,-6.187246839022492395e+00,1.211243137626742623e+02,5.444692054930789027e+01,-1.252859673660304054e+02
-4.511580899075617879e-01,1.276154648600936525e+00,-6.692037406365983543e+00,1.204034526679998436e+02,5.584666101814412542e+01,-1.252641417434899012e+02
-5.239159743460781726e-01,1.418741707362300986e+00,-7.179263855119813798e+00,1.197933894780064179e+02,5.704498497981133198e+01,-1.248754051988029232e+02
-5.642509517759819460e-01,1.572487915154056282e+00,-7.677051872203179528e+00,1.197722397172489792e+02,6.059291421685416168e+01,-1.254726901962391139e+02
