# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.499954820863074190e+01,-1.468668683877680081e+01,-1.366298303026341543e+01
1.272619203820912759e-02,-1.326131366764684572e-01,-4.997368306339353694e-01,4.585704700905548492e+01,-1.548205918017282201e+01,-1.303423387851989546e+01
2.465367814716312722e-02,-2.513379904289649858e-01,-1.008118228530577198e+00,4.637699953127308561e+01,-1.623463234143300937e+01,-1.256990113992925551e+01
3.330409770872044817e-02,-3.666524632624259539e-01,-1.514381925322823008e+00,4.643777007486649211e+01,-1.740771476114107941e+01,-1.298099770316942347e+01
4.768639918412986844e-02,-4.894268356964630584e-01,-2.013481951694103600e+00,4.655615711772473730e+01,-1.830642105185823709e+01,-1.349480441282739562e+01
7.515788193854078258e-02,-5.980549064189517594e-01,-2.516520074057609690e+00,4.677221515372394833e+01,-1.932714288165358951e+01,-1.377339560581889621e+01
9.018700078781272111e-02,-7.114692306394090338e-01,-3.027530173264523228e+00,4.770236662647634773e+01,-2.040567039181560460e+01,-1.247900080022682801e+01
1.244426643596945325e-01,-8.326030914287230189e-01,-3.533604456457851484e+00,4.789603054835306750e+01,-2.078044284150511700e+01,-1.257693346556482794e+01
1.364709521600886433e-01,-9.591645841031777309e-01,-4.038408584002979751e+00,4.891544476599147373e+01,-2.149800875310376114e+01,-1.152230054886851640e+01
1.624813489367316066e-01,-1.068578729302544161e+00,-4.547185734120375855e+00,4.892496807052599905e+01,-2.225662523240409740e+01,-1.165810789061913155e+01
1.995509808816438024e-01,-1.175791016413882062e+00,-5.059639925792964732e+00,4.982648573319522001e+01,-2.334983228963301727e+01,-1.191883080779596327e+01
2.443231400449068502e-01,-1.292509107086402764e+00,-5.567900882250825134e+00,5.138452776792256316e+01,-2.353532611295750243e+01,-1.030003071783244728e+01
2.670616244238415149e-01,-1.402158521592582474e+00,-6.075166284651487558e+00,5.113567322507172719e+01,-2.440792493319408152e+01,-1.004188446674510615e+01
3.104675637264371346e-01,-1.504348651237819467e+00,-6.585916405518247529e+00,5.278960541494915759e+01,-2.496844210439184408e+01,-9.989512893059355747e+00
3.461115882643577280e-01,-1.607935228877749978e+00,-7.093406266605086330e+00,5.267871300294167725e+01,-2.625449624992397446e+01,-1.041146463624272478e+01
3.909073507342526455e-01,-1.713212770868153711e+00,-7.605278114366058162e+00,5.378400692812630979e+01,-2.676019176990209658e+01,-9.488322469167208340e+00
4.288517716082536069e-01,-1.816848477369489956e+00,-8.116225904078902431e+00,5.458487064533979805e+01,-2.752484217564460423e+01,-9.234617254436669143e+00
4.769208700782563426e-01,-1.918867846385978737e+00,-8.628272057694573505e+00,5.577905912362136576e+01,-2.794455892628786842e+01,-8.696997082105196952e+00
5.286281014694331759e-01,-2.013503394250392375e+00,-9.146934373271818686e+00,5.533894029160090611e+01,-2.906301885778629668e+01,-9.060236687889405616e+00
5.784906572094286048e-01,-2.111692217933182292e+00,-9.658437557861731193e+00,5.612776554888444736e+01,-2.972141760617467909e+01,-8.903960419038483565e+00
6.272272008642953978e-01,-2.202891923949891861e+00,-1.017283392363873418e+01,5.694915556140752244e+01,-3.065683741311185173e+01,-8.971670992353287133e+00
6.841652259239552336e-01,-2.296046878127185664e+00,-1.068879758239296507e+01,5.734300935925419651e+01,-3.148871725823444834e+01,-8.912354199222564333e+00
7.440504210486604819e-01,-2.383560394186133635e+00,-1.120290145337762056e+01,5.794119603998836965e+01,-3.201757753253185967e+01,-8.524005649195650847e+00
8.032103660716591875e-01,-2.477217797095704555e+00,-1.171965040395897972e+01,5.813521738164646280e+01,-3.305009341302716308e+01,-9.088507203195554496e+00
8.517015492672559418e-01,-2.552459775414149590e+00,-1.224099873990965648e+01,5.853462550294681677e+01,-3.400256990588221839e+01,-9.047614823320715871e+00
9.186867770817448431e-01,-2.636111231674590272e+00,-1.276334492695977474e+01,5.969061977764561533e+01,-3.457550065029116837e+01,-8.544441769943817988e+00
9.764682370966122349e-01,-2.710233057855020888e+00,-1.328382017545217764e+01,6.052375077296314743e+01,-3.540825808401456953e+01,-8.546330894254774435e+00
1.038186716563973100e+00,-2.794614402896968386e+00,-1.380932354411322649e+01,6.162383318708308622e+01,-3.586692838829488039e+01,-8.137041389629809274e+00
1.108311449372399338e+00,-2.863930105479425947e+00,-1.433210105750362118e+01,6.344493573297852862e+01,-3.633787875472336992e+01,-8.190344879314656268e+00
1.173290210601888539e+00,-2.928998677237700576e+00,-1.485950609143418433e+01,6.311826296388112922e+01,-3.770899562782309289e+01,-8.171422503977318286e+00
1.236655295102293994e+00,-2.996061982625519704e+00,-1.538654679937761216e+01,6.391049624921633665e+01,-3.861453599242057777e+01,-8.248348456029122033e+00
1.303615519293427116e+00,-3.068563419252086533e+00,-1.591756524650685378e+01,6.505197804702788744e+01,-3.903662076887118815e+01,-8.259482168774582078e+00
1.370808868643246026e+00,-3.132846439007721528e+00,-1.644812782835865050e+01,6.565538076897314568e+01,-3.892417563615113352e+01,-7.446716648148565376e+00
1.440868783078295134e+00,-3.185438605225385800e+00,-1.698174680642296153e+01,6.767488673346520045e+01,-4.006930034680814146e+01,-8.126558092306296999e+00
1.502288646635491443e+00,-3.233315026349828258e+00,-1.751628784523322224e+01,6.816772321678270430e+01,-4.163456621250121259e+01,-8.565179745849720305e+00
1.574880766363730533e+00,-3.285856036384643630e+00,-1.805133205627842585e+01,7.004340152642210171e+01,-4.196385754034508153e+01,-8.493784764096300677e+00
1.648957116148479951e+00,-3.333281046285151206e+00,-1.859484115010096161e+01,7.180510418931663708e+01,-4.146285849552696590e+01,-8.107672587453844670e+00
1.724468322881776317e+00,-3.368294214643242412e+00,-1.913516803443818048e+01,7.343761548835472297e+01,-4.203910253332393410e+01,-7.747855000653352420e+00
1.791404656426459852e+00,-3.405927367088793289e+00,-1.967179369399696043e+01,7.516986647761544305e+01,-4.283607217961297664e+01,-9.275480887310395772e+00
1.866624711241636536e+00,-3.441718987885792558e+00,-2.022207638723594414e+01,7.656223339609367429e+01,-4.284386913565053590e+01,-9.435498479130639993e+00
1.938682119196920794e+00,-3.461241071759332044e+00,-2.076921029169184862e+01,8.006618085469300183e+01,-4.309003935411730168e+01,-9.929376705918743440e+00
2.013716172063499510e+00,-3.501708439046183230e+00,-2.131257479375449293e+01,8.080717933815094511e+01,-4.294525094462567694e+01,-9.015851356285436324e+00
2.093546624216371388e+00,-3.502041535996113453e+00,-2.186288095735392289e+01,8.232315871873919377e+01,-4.455512062854833744e+01,-9.460322375703544395e+00
2.161135950831616359e+00,-3.520669195635491633e+00,-2.241158909639952412e+01,8.427868042123873238e+01,-4.438484545407524706e+01,-9.885061399470625787e+00
2.247042059742625941e+00,-3.525017264230086766e+00,-2.296391543746241837e+01,8.666229421922642473e+01,-4.412738107793836662e+01,-1.042060042071206816e+01
2.324585669911055863e+00,-3.535677879458035022e+00,-2.351952202864322317e+01,8.789757900249428246e+01,-4.490012412703955391e+01,-1.018503293958941924e+01
