# pos_x,pos_y,pos_z,ori_x,ori_y,ori_z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.565327358777356537e+01,2.259783767188758929e+01,-8.621725878923074049e+01
-1.093820650087691249e-01,-4.437440368064926588e-03,-3.519736454584290186e-01,-2.556751420528868124e+01,2.260117118903260547e+01,-8.724245890810421145e+01
-2.059987644573846310e-01,-1.518495903849270690e-02,-7.051850222486280018e-01,-2.576857502384090282e+01,2.336365576357014007e+01,-8.565555031341858694e+01
-3.085642344619694555e-01,-4.536856658660326502e-03,-1.060734867760430689e+00,-2.569828964322266884e+01,2.389461604347140522e+01,-8.482035821770649875e+01
-4.008450523474378357e-01,-5.477786898836711771e-03,-1.420355450212838377e+00,-2.619991451242125891e+01,2.390224599970460773e+01,-8.616396874257357297e+01
-5.098309274861732021e-01,-3.512722307993954018e-02,-1.765444287782401034e+00,-2.632725099130180269e+01,2.418044288498820649e+01,-8.628693445322016942e+01
-6.188789497648610194e-01,-3.238965908906266122e-02,-2.115407191112836927e+00,-2.589488975992815512e+01,2.440677970677068487e+01,-8.518342434786379158e+01
-7.227146589424444656e-01,-4.879890433801392646e-02,-2.473305078049321537e+00,-2.576495221938490232e+01,2.494757719615678937e+01,-8.411563514109924711e+01
-8.223161019678775219e-01,-6.743776486018759897e-02,-2.822647819527873025e+00,-2.617892550391961137e+01,2.482324831804520926e+01,-8.563614764232976029e+01
-9.277170616607364195e-01,-5.642694597133868228e-02,-3.178516950267635366e+00,-2.546945341378558325e+01,2.441819461246320344e+01,-8.542619553356968254e+01
-1.025925507011814730e+00,-7.345235919240167277e-02,-3.534095839621272717e+00,-2.531554622100951946e+01,2.425280413505904065e+01,-8.640429608526601157e+01
-1.127455517890926018e+00,-8.163345318473602674e-02,-3.890297313930233258e+00,-2.486822346649705295e+01,2.376433826519958359e+01,-8.722593674343045222e+01
-1.219318521341738126e+00,-5.471424625045528956e-02,-4.241916621839266099e+00,-2.515461921210987839e+01,2.451953679131482744e+01,-8.565711243361000982e+01
-1.321996662307282300e+00,-1.258320520123561437e-01,-4.588205311532419728e+00,-2.465965678094152125e+01,2.394252192890166242e+01,-8.676232907041283227e+01
-1.408162365706781216e+00,-1.336648346323272563e-01,-4.949106979303934395e+00,-2.443725080279917705e+01,2.386608722622649026e+01,-8.637634404130129440e+01
-1.507169789453629782e+00,-1.340254668740499255e-01,-5.291503617859632413e+00,-2.398275127867030321e+01,2.376531546150383178e+01,-8.592882710774119914e+01
-1.596413559531415061e+00,-1.337930922649093191e-01,-5.659942595640188756e+00,-2.321504688762720647e+01,2.288540356035071710e+01,-8.759198563396805071e+01
-1.677276771937446842e+00,-1.101913785607848695e-01,-6.020822877569173670e+00,-2.252477797457756026e+01,2.293051988707159694e+01,-8.517369730731971345e+01
-1.769830709785370271e+00,-1.540015357628590209e-01,-6.375461373874998117e+00,-2.222003494171089599e+01,2.233259951636307861e+01,-8.662225055696541176e+01
-1.848924248040825002e+00,-1.900099709357618849e-01,-6.746805352283161028e+00,-2.155251510895343969e+01,2.154752512670302522e+01,-8.728058585136719216e+01
-1.923125657076736328e+00,-2.152373979921549108e-01,-7.079575290234117801e+00,-2.084937945919224944e+01,2.117053218392645064e+01,-8.633531116371001701e+01
-1.997937831497565764e+00,-2.134478527536884940e-01,-7.444839839191615738e+00,-2.009792083175302224e+01,2.048674678559556028e+01,-8.674884083397724055e+01
-2.065561823935862851e+00,-2.147195929269400949e-01,-7.795886090235796928e+00,-1.911633843379337350e+01,1.980416910898553340e+01,-8.629908631920464757e+01
-2.122912114768884972e+00,-2.202027936356216742e-01,-8.177513052234417046e+00,-1.825187369406684823e+01,1.882835539039422557e+01,-8.706601880659600567e+01
-2.180639963022915850e+00,-2.400156867803389105e-01,-8.521732624652031518e+00,-1.779059748745827108e+01,1.850836510518645994e+01,-8.615403371192631710e+01
-2.228304623917519045e+00,-2.581923482385946045e-01,-8.905855415514707829e+00,-1.650066047157315552e+01,1.717586246341404177e+01,-8.739276004900598593e+01
-2.283072115589209083e+00,-2.854651735231072962e-01,-9.251897488807941272e+00,-1.605651569844487270e+01,1.684284168556913386e+01,-8.692003843541836261e+01
-2.328510840587165731e+00,-2.952709818227958749e-01,-9.633306639663572923e+00,-1.514310001465919164e+01,1.592010374360671676e+01,-8.704114564984750757e+01
-2.379036278268317428e+00,-2.983931665801264899e-01,-9.985160605101583542e+00,-1.396290961691631161e+01,1.501921753856167641e+01,-8.643957897310878025e+01
-2.419147992670495739e+00,-3.259932552482496249e-01,-1.034578070483621559e+01,-1.315292718275870776e+01,1.408509469954763560e+01,-8.703428562556194947e+01
-2.443910870273243940e+00,-3.225448306490079631e-01,-1.071409890771258233e+01,-1.224881751324920742e+01,1.299227395989839628e+01,-8.721206940182358380e+01
-2.471890434361905253e+00,-3.616646866994415177e-01,-1.106727592950059602e+01,-1.121222364716925135e+01,1.204877608888319074e+01,-8.663053966859557420e+01
-2.508362727761900945e+00,-3.605981965674800449e-01,-1.144718980770855410e+01,-1.024424046184327253e+01,1.105420471295951934e+01,-8.630162845247835435e+01
-2.522248768395673579e+00,-3.954425812452200262e-01,-1.182030676680307124e+01,-1.044750443888358049e+01,1.127254582326120769e+01,-8.553015175872688758e+01
-2.524187705087311606e+00,-4.155931158040857554e-01,-1.218920353520877597e+01,-8.923788805346257291e+00,9.729145206399099521e+00,-8.587740697545358159e+01
-2.541398185287363720e+00,-3.840383161600584572e-01,-1.255979545617412896e+01,-7.109490139648776186e+00,7.753536361285209288e+00,-8.656771084776691794e+01
-2.535987967139923693e+00,-3.968360945891618030e-01,-1.291375702812084114e+01,-5.813053495861191244e+00,6.273475164353852662e+00,-8.720452691661448341e+01
-2.531741078850571647e+00,-4.539977087187025973e-01,-1.327045379672154013e+01,-5.225120629260618266e+00,5.312555011267775740e+00,-8.713840077737967249e+01
-2.519351974980070796e+00,-4.166577632645385165e-01,-1.363908942940923907e+01,-3.871344263308921008e+00,4.236247885643826372e+00,-8.782043295696398388e+01
-2.505230132721862457e+00,-5.347191598903009435e-01,-1.399372366716855254e+01,-1.884115529443327886e-01,6.998196100492285465e-01,-8.692756468215542043e+01
-2.484114856088085688e+00,-5.060864612903515081e-01,-1.434981388498118804e+01,1.270945906283905913e+00,-9.151140557892394334e-01,-8.802233140520316113e+01
-2.477942977174774519e+00,-4.520052783136634389e-01,-1.472134700621123216e+01,2.232863768989068465e+00,-1.887332956125163941e+00,-8.747411099919568755e+01
-2.444818415322401961e+00,-5.007044399411597624e-01,-1.507701428357859186e+01,3.610514306441091836e+00,-3.396799740567459036e+00,-8.792690154576170869e+01
-2.392396785396668779e+00,-5.748526275108361006e-01,-1.544848816616803333e+01,4.957995797926735726e+00,-4.835290520202560671e+00,-8.655272190729118620e+01
-2.355143602775760847e+00,-5.889712627888457064e-01,-1.581496484974971395e+01,5.920657930510370370e+00,-6.089069359607086618e+00,-8.770639639094068229e+01
-2.312150350340765659e+00,-5.905603668238654791e-01,-1.617513442127099665e+01,7.432172770588992172e+00,-7.646870226312778129e+00,-8.780560449927479283e+01
-2.261479788179515449e+00,-5.785831888366601561e-01,-1.653728915145137535e+01,8.407975183834631494e+00,-8.878035196781087990e+00,-8.666351408431337688e+01
-2.209620806623009415e+00,-5.753883703856672582e-01,-1.689703444692113976e+01,9.751240791575032318e+00,-1.027811652081636851e+01,-8.712730340572529997e+01
-2.146318494873123317e+00,-5.780244808561292302e-01,-1.725257718147642549e+01,1.115065997467114833e+01,-1.182406075109783927e+01,-8.741664923978066781e+01
-2.081030709861073191e+00,-6.172810908492465387e-01,-1.760857980730887107e+01,1.220107474127769009e+01,-1.314412007208292010e+01,-8.746383775320654763e+01
